Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Belgium,BEL,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.0733699798584,1.0791300535202,1.08149003982544,..,..,..
Belgium,BEL,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,8,8,..,..,..,..
Belgium,BEL,Voice and Accountability: Estimate,VA.EST,1.33021223545074,1.3083484172821,1.27844524383545,1.271479845047,1.29260873794556,..
Belgium,BEL,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,24.6491730272904,26.1053880527861,17.5792392418833,17.6376554009437,17.838189781615,..
Belgium,BEL,Tree Cover Loss (hectares),AG.LND.FRLS.HA,4631,5577,5409,9143,..,..
Belgium,BEL,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,51.2899262899,51.5847665848,51.5847665848,..,..,..
China,CHN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,77.6,79.4,81.4,83.2,..,..
China,CHN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,3.54971055780421,..,..,..,..
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.53319313353674,7.64543578560038,7.75613790659769,..,..,..
China,CHN,Control of Corruption: Estimate,CC.EST,-0.286587774753571,-0.312405079603195,-0.0709566846489906,0.030393473803997,0.0159702487289906,..
China,CHN,Economic and Social Rights Performance Score,SD.ESR.PERF.XQ,2.532732755,..,..,..,..,..
China,CHN,Government Effectiveness: Estimate,GE.EST,0.496618092060089,0.54490339756012,0.644194781780243,0.809331774711609,0.495032012462616,..
China,CHN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.4506902694702,11.2266368865967,10.5329275131226,10.8503179550171,..,..
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.744,77.968,78.077,..,..,..
China,CHN,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC,0.817793436510879,0.826296804463877,0.840681157253207,..,..,..
China,CHN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.6,8,7.4,6.9,..,..
China,CHN,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC,0.388909373520773,0.381133089657573,0.380497633264829,..,..,..
China,CHN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,49.27568382,47.67263439,..,..,..,..
China,CHN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.298641502857208,-0.259810864925385,-0.473098784685135,-0.51672887802124,-0.441073626279831,..
China,CHN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,24.8993288590604,24.9411764705882,24.9411764705882,24.9411764705882,24.9411764705882,..
China,CHN,Regulatory Quality: Estimate,RQ.EST,-0.22858552634716,-0.304319977760315,-0.202643379569054,-0.332243531942368,-0.418417632579803,..
China,CHN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,13.55,14.33,14.81,..,..,..
China,CHN,Rule of Law: Estimate,RL.EST,-0.186719536781311,-0.262363702058792,-0.10228705406189,0.0107609163969755,-0.0414439849555492,..
China,CHN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.01431000232697,1.01529002189636,1.01286995410919,1.01161003112793,..,..
China,CHN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,3,3,..,..,..,..
China,CHN,Voice and Accountability: Estimate,VA.EST,-1.45992791652679,-1.6273341178894,-1.65873777866364,-1.64286768436432,-1.60957491397858,..
China,CHN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,14.5876416474392,14.7363957337724,14.7465114295171,14.7465114295171,14.7465114295171,..
China,CHN,Tree Cover Loss (hectares),AG.LND.FRLS.HA,569452,496964,422213,536655,..,..
China,CHN,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,43.3027563138,43.9754020537,41.5185287974,..,..,..
Denmark,DNK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,..,..
Denmark,DNK,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,6.82614009736737,..,..,..,..
Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.71891295897775,5.10738642637222,4.69123730751634,..,..,..
Denmark,DNK,Control of Corruption: Estimate,CC.EST,2.15647912025452,2.12161731719971,2.23646879196167,2.33375263214111,2.40274429321289,..
Denmark,DNK,Economic and Social Rights Performance Score,SD.ESR.PERF.XQ,2.493505479,..,..,..,..,..
Denmark,DNK,Government Effectiveness: Estimate,GE.EST,1.81058418750763,1.87338101863861,1.84041404724121,1.96179676055908,1.9906097650528,..
Denmark,DNK,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.6484069824219,12.7428998947144,11.9155778884888,11.8883810043335,..,..
